[(34, 135), 1, '其', (0.09411764705882353, 0.11764705882352941, 0.01568627450980392), './font/三极刻本雅宋.ttf']
[(35, 135), 1, '实', (0.13333333333333333, 0.16862745098039217, 0.047058823529411764), './font/三极刻本雅宋.ttf']
[(36, 134), 2, '不', (0.2549019607843137, 0.2823529411764706, 0.15294117647058825), './font/三极刻本雅宋.ttf']
[(38, 135), 2, '过', (0.21176470588235294, 0.23921568627450981, 0.10980392156862745), './font/三极刻本雅宋.ttf']
[(40, 134), 1, '某', (0.5647058823529412, 0.6627450980392157, 0.396078431372549), './font/三极刻本雅宋.ttf']
[(41, 134), 2, '个', (0.08235294117647059, 0.12941176470588237, 0.043137254901960784), './font/三极刻本雅宋.ttf']
[(43, 134), 2, '平', (0.5882352941176471, 0.615686274509804, 0.44313725490196076), './font/三极刻本雅宋.ttf']
[(45, 133), 1, '庸', (0.23137254901960785, 0.26666666666666666, 0.050980392156862744), './font/三极刻本雅宋.ttf']
[(46, 133), 2, '的', (0.1803921568627451, 0.23137254901960785, 0.06274509803921569), './font/三极刻本雅宋.ttf']
[(48, 133), 1, '日', (0.12156862745098039, 0.19215686274509805, 0.19215686274509805), './font/三极刻本雅宋.ttf']
[(49, 133), 1, '子', (0.21176470588235294, 0.21568627450980393, 0.09411764705882353), './font/三极刻本雅宋.ttf']
[(50, 133), 1, '因', (0.10588235294117647, 0.17647058823529413, 0.08235294117647059), './font/三极刻本雅宋.ttf']
[(51, 132), 2, '为', (0.08627450980392157, 0.10980392156862745, 0.0), './font/三极刻本雅宋.ttf']
[(53, 133), 2, '集', (0.19607843137254902, 0.2, 0.1803921568627451), './font/三极刻本雅宋.ttf']
[(55, 133), 2, '体', (0.3333333333333333, 0.3607843137254902, 0.22745098039215686), './font/三极刻本雅宋.ttf']
[(57, 132), 1, '的', (0.5058823529411764, 0.5725490196078431, 0.4980392156862745), './font/三极刻本雅宋.ttf']
[(58, 132), 1, '认', (0.5882352941176471, 0.7568627450980392, 0.9568627450980393), './font/三极刻本雅宋.ttf']
[(59, 132), 2, '同', (0.5686274509803921, 0.788235294117647, 0.9803921568627451), './font/三极刻本雅宋.ttf']
[(61, 133), 2, '而', (0.5294117647058824, 0.7725490196078432, 0.996078431372549), './font/三极刻本雅宋.ttf']
[(63, 133), 1, '生', (0.7215686274509804, 0.8117647058823529, 0.9450980392156862), './font/三极刻本雅宋.ttf']
[(64, 133), 1, '发', (0.8, 0.8431372549019608, 0.43137254901960786), './font/三极刻本雅宋.ttf']
[(65, 133), 1, '喜', (0.3607843137254902, 0.4823529411764706, 0.07450980392156863), './font/三极刻本雅宋.ttf']
[(66, 133), 1, '悦', (0.6431372549019608, 0.8313725490196079, 0.8470588235294118), './font/三极刻本雅宋.ttf']
[(67, 132), 2, '和', (0.5137254901960784, 0.6862745098039216, 0.7372549019607844), './font/三极刻本雅宋.ttf']
[(69, 131), 1, '繁', (0.1803921568627451, 0.2901960784313726, 0.37254901960784315), './font/三极刻本雅宋.ttf']
[(70, 131), 2, '荣', (0.4196078431372549, 0.5333333333333333, 0.5882352941176471), './font/三极刻本雅宋.ttf']
[(77, 56), 2, '因', (0.615686274509804, 0.8, 0.9725490196078431), './font/SourceHanSerifSC-Bold.otf']
[(79, 56), 1, '为', (0.03137254901960784, 0.10196078431372549, 0.11764705882352941), './font/SourceHanSerifSC-Bold.otf']
[(80, 56), 1, '他', (0.6666666666666666, 0.8274509803921568, 0.9058823529411765), './font/SourceHanSerifSC-Bold.otf']
[(81, 55), 2, '刚', (0.00784313725490196, 0.11764705882352941, 0.16470588235294117), './font/SourceHanSerifSC-Bold.otf']
[(83, 55), 1, '才', (0.7098039215686275, 0.8392156862745098, 0.9607843137254902), './font/SourceHanSerifSC-Bold.otf']
[(84, 55), 2, '听', (0.03137254901960784, 0.09411764705882353, 0.1450980392156863), './font/SourceHanSerifSC-Bold.otf']
[(86, 54), 1, '清', (0.6588235294117647, 0.8235294117647058, 0.9803921568627451), './font/SourceHanSerifSC-Bold.otf']
[(87, 54), 1, '了', (0.6352941176470588, 0.788235294117647, 0.9176470588235294), './font/SourceHanSerifSC-Bold.otf']
[(88, 53), 2, '窃', (0.5333333333333333, 0.7450980392156863, 0.996078431372549), './font/SourceHanSerifSC-Bold.otf']
[(90, 54), 2, '窃', (0.5372549019607843, 0.7372549019607844, 0.996078431372549), './font/SourceHanSerifSC-Bold.otf']
[(92, 54), 1, '私', (0.5372549019607843, 0.7372549019607844, 0.9921568627450981), './font/SourceHanSerifSC-Bold.otf']
[(93, 53), 2, '语', (0.5333333333333333, 0.7333333333333333, 0.9882352941176471), './font/SourceHanSerifSC-Bold.otf']
[(95, 53), 2, '的', (0.5333333333333333, 0.7333333333333333, 0.9882352941176471), './font/SourceHanSerifSC-Bold.otf']
[(97, 52), 1, '时', (0.5333333333333333, 0.7333333333333333, 0.9882352941176471), './font/SourceHanSerifSC-Bold.otf']
[(98, 52), 1, '间', (0.5294117647058824, 0.7294117647058823, 0.9882352941176471), './font/SourceHanSerifSC-Bold.otf']
[(99, 52), 1, '俯', (0.5294117647058824, 0.7294117647058823, 0.9882352941176471), './font/SourceHanSerifSC-Bold.otf']
[(100, 51), 2, '在', (0.5215686274509804, 0.7333333333333333, 0.984313725490196), './font/SourceHanSerifSC-Bold.otf']
[(102, 51), 1, '他', (0.5215686274509804, 0.7294117647058823, 0.9882352941176471), './font/SourceHanSerifSC-Bold.otf']
